"PREC_IDENT","PREC_NAME","DISTRICT","POLLING_PL","ADDRESS","CITY","ZIP","SHAPE_AREA","SHAPE_LEN"
421,"KINGSTOWNE","Lee","HAYFIELD SECONDARY SCHOOL","7630 Telegraph Rd","Alexandria",22315,22539613.1563,23110.0641678
426,"GREENSPRING","Lee","Greenspring Conference Center","7430 Spring Village Dr","Springfield",22150,3962441.34551,10051.8735778
840,"WEST SPRINGFIELD","Springfield","West Springfield Elementary School","6802 Deland Dr","Springfield",22152,27860296.678,32432.6093797
825,"CHERRY RUN","Springfield","Cherry Run Elementary School","9732 Ironmaster Dr","Burke",22015,24459968.5363,24305.8852044
812,"VALLEY","Springfield","Rolling Valley Elementary School","6703 Barnack Dr","Springfield",22152,24091909.9794,28773.6851541
417,"GARFIELD","Lee","Garfield Elementary School","7101 Old Keene Mill Rd","Springfield",22150,69257207.1428,44064.7454192
842,"PARKWAY","Springfield","Burke Community Church","9900 Old Keene Mill Rd","Burke",22015,23277974.5099,22526.3283841
130,"TERRA CENTRE","Braddock","Terra Centre Elementary School","6000 Burke Centre Pky","Burke",22015,17885166.156,18348.3380207
129,"KEENE MILL","Braddock","Keene Mill Elementary School","6310 Bardu Ave","Springfield",22152,15366948.8077,23947.129849
827,"IRVING","Springfield","Irving Middle School","8100 Old Keene Mill Rd","Springfield",22152,26800038.58,28606.216675
833,"WHITE OAKS","Springfield","White Oaks Elementary School","6130 Shiplett Blvd","Burke",22015,25077969.0933,22588.5274847
415,"CRESTWOOD","Lee","Crestwood Elementary School","6010 Hanover Ave","Springfield",22150,33521523.4113,30434.8524094
128,"CARDINAL","Braddock","Cardinal Forest Elementary School","8600 Forrester Blvd","Springfield",22152,18921706.6986,43742.3434536
801,"BURKE","Springfield","West Springfield High School","6100 Rolling Rd","Springfield",22152,42720492.9603,34802.7742131
105,"FAIRVIEW","Braddock","Fairview Elementary School","5815 Ox Rd","Fairfax Station",22039,36107176.0779,25481.8917134
401,"BUSH HILL","Lee","Bush Hill Elementary School","5927 Westchester St","Alexandria",22310,38360125.5322,25391.3543626
402,"CAMERON","Lee","Cameron Elementary School","3434 Campbell Dr","Alexandria",22303,12552801.5516,16114.0725433
125,"SIGNAL HILL","Braddock","Lake Braddock Secondary School","9200 Burke Lake Rd","Burke",22015,28467930.4196,24415.8461892
119,"LAUREL","Braddock","Laurel Ridge Elementary School","10110 Commonwealth Blvd","Fairfax",22032,30237569.4406,25336.7724921
526,"BREN MAR","Mason","Bren Mar Park Elementary School","6344 Beryl Rd","Alexandria",22312,30548241.756,26866.842492
123,"ROBINSON","Braddock","Robinson Secondary School","5035 Sideburn Rd","Fairfax",22032,39823624.3708,27297.5485578
521,"BROOK HILL","Mason","Poe Middle School","7000 Cindy Ln","Annandale",22003,29850780.4302,26286.2623527
504,"BRISTOW","Mason","Annandale Terrace Elementary School","7604 Herald St","Annandale",22003,17290162.5001,17835.0548878
106,"HERITAGE","Braddock","Braddock Elementary School","7825 Heritage Dr","Annandale",22003,21019152.1533,22553.3039697
104,"CHAPEL","Braddock","Nancy F. Sprague Technology Center","4414 Holborn Ave.","Annandale",22003,44111903.1373,29296.5916218
116,"WAKEFIELD","Braddock","Wakefield Forest Elementary School","4011 Iva Ln","Fairfax",22032,24244154.9342,21634.022631
528,"RIDGELEA","Mason","Bethlehem Lutheran Church","8922 Little River Tpk","Fairfax",22031,17381471.5291,24275.0836378
923,"BULL RUN","Sully","Bull Run Elementary School","15301 Lee Hwy","Centreville",20121,226303291.472,94173.6110807
928,"POPLAR TREE","Sully","Poplar Tree Elementary School","13440 Melville Ln","Chantilly",20151,34652488.8164,32064.071024
515,"WESTLAWN","Mason","Westlawn Elementary School","3200 Westley Rd","Falls Church",22042,11080364.6614,13985.7584416
705,"GRAHAM-GREENWAY","Providence","Graham Road Elementary School","2831 Graham Rd","Falls Church",22042,23681797.9802,21561.5319609
903,"CUB RUN","Sully","Cub Run Elementary School","5301 Sully Station Dr","Centreville",20120,29842269.9797,24517.7194302
846,"GREENBRIAR EAST","Springfield","Greenbriar East Elementary School","13006 Point Pleasant Dr","Fairfax",22033,20082788.3712,21433.436538
913,"ROCKY RUN","Sully","Rocky Run Middle School","4400 Stringfellow Rd","Chantilly",20151,71729302.5108,42943.818128
847,"GREENBRIAR WEST","Springfield","Greenbriar West Elementary School","13300 Poplar Tree Rd","Fairfax",22033,19696222.3392,19862.1792057
915,"VIRGINIA RUN","Sully","Virginia Run Elementary School","15450 Martins Hundred Dr","Centreville",20120,139381105.757,60867.9486305
720,"THOREAU","Providence","Thoreau Middle School","2505 Cedar Ln","Vienna",22180,17539355.3153,18420.4975929
730,"PENDERBROOK","Providence","Penderbrook Community Center","3704 Golf Trail Ln","Fairfax",22033,53464467.9786,38485.5589906
317,"WESTHAMPTON","Dranesville","Lemon Road Elementary School","7230 Idylwood Rd","Falls Church",22043,27283820.1817,30785.9490797
307,"HAYCOCK","Dranesville","Haycock Elementary School","6616 Haycock Rd","Falls Church",22043,19870762.4614,22985.0778341
312,"LONGFELLOW","Dranesville","Longfellow Middle School","2000 Westmoreland St","Falls Church",22043,26909294.3857,27353.1760406
714,"WALKER","Providence","Fairhill Elementary School","3001 Chichester Ln","Fairfax",22031,31485857.0204,26065.8384283
315,"PIMMIT","Dranesville","Pimmit Hills Center","7510 Lisle Ave","Falls Church",22043,28953145.4535,23194.6942041
310,"KIRBY","Dranesville","McLean High School","1633 Davidson Rd","McLean",22101,22104899.3742,20317.4055238
305,"EL NIDO","Dranesville","Chesterbrook Elementary School","1753 Kirby Rd","McLean",22101,25864911.3981,30939.7175642
318,"WESTMORELAND","Dranesville","Kent Gardens Elementary School","1717 Melbourne Dr","McLean",22101,15255364.1823,18564.44935
302,"CHESTERBROOK","Dranesville","SAINT DUNSTAN'S EPISCOPAL CHURCH","1830 Kirby Rd","McLean",22101,31692634.6308,25664.0495801
323,"SHOUSE","Dranesville","Colvin Run Elementary School","1400 Trap Rd","Vienna",22182,48872491.4884,31145.5023652
419,"LANE","Lee","Lane Elementary School","7137 Beulah St","Alexandria",22315,28683906.5762,29223.000184
710,"PINE SPRING","Providence","Pine Spring Elementary School","7607 Willow Ln","Falls Church",22042,20451709.0757,19521.9689949
221,"HUNTERS WOODS","Hunter Mill","Hunters Woods Elementary School","2401 Colts Neck Rd","Reston",20191,72756077.408,57655.5439304
219,"WESTBRIAR","Hunter Mill","Westbriar Elementary School","1741 Pine Valley Dr","Vienna",22182,50900711.3017,46138.967884
120,"SIDEBURN","Braddock","Oak View Elementary School","5004 Sideburn Rd","Fairfax",22032,31175456.3228,29681.9536723
522,"CAMELOT","Mason","Camelot Elementary School","8100 Guinevere Dr","Annandale",22003,25734506.9423,23897.2900778
223,"GLADE","Hunter Mill","Reston Community Center","2310 Colts Neck Rd","Reston",20191,41299900.7702,51142.326608
409,"PIONEER","Lee","Lee High School","6540 Franconia Rd","Springfield",22150,83942512.43,62945.2119568
519,"HUMMER","Mason","Fred Packard Center","4022 Hummer Rd","Annandale",22003,22793180.7259,20533.5599655
625,"LORTON CENTER","Mount Vernon","Grace Bible Church","9115 Lorton Station Blvd","Lorton",22079,40968384.0566,33791.2249121
510,"PARKLAWN","Mason","Parklawn Elementary School","4116 Braddock Rd","Alexandria",22312,25176334.0608,26388.6240058
845,"FOUNTAINHEAD","Springfield","Silverbrook Elementary School","9350 Crosspointe Dr","Fairfax Station",22039,340057698.284,97184.6933969
838,"SANGSTER","Springfield","Sangster Elementary School","7420 Reservation Dr","Springfield",22153,23348707.035,27487.7676582
126,"BONNIE BRAE","Braddock","Bonnie Brae Elementary School","5420 Sideburn Rd","Fairfax",22032,17575595.6592,18568.9263291
726,"MAGARITY","Providence","Westgate Elementary School","7500 Magarity Rd","Falls Church",22043,22591056.9411,21295.6832913
901,"CENTRE RIDGE","Sully","Centre Ridge Elementary School","14400 New Braddock Rd","Centreville",20121,27908261.5054,22665.5650352
424,"HUNTLEY","Lee","Groveton Elementary School","6900 Harrison Ln","Alexandria",22306,81231172.1828,44089.2045119
523,"POE","Mason","Thomas Jefferson High School","6560 Braddock Rd","Alexandria",22312,31450850.0354,23885.6359323
707,"MANTUA","Providence","Fairfax Circle Baptist Church","3110 Chichester Ln","Fairfax",22031,36151026.0306,27655.0352041
918,"CENTREVILLE","Sully","Centreville Adult Education Center","5775 Spindle Ct","Centreville",20121,27384953.1881,23792.5491529
517,"WILLSTON","Mason","Willston Instructional Center","6131 Willston Dr","Falls Church",22044,11335132.6811,20505.5793572
227,"SUNRISE VALLEY","Hunter Mill","Sunrise Valley Elementary School","10824 Cross School Rd","Reston",20191,40921708.0304,32474.5451742
733,"KILMER","Providence","Kilmer Middle School","8100 Wolftrap Rd","Vienna",22182,34535865.0699,28233.4593685
925,"OLD MILL","Sully","Centreville United Methodist Church","6400 Old Centreville Rd","Centreville",20121,62359969.3347,45467.6505255
418,"LYNBROOK","Lee","Lynbrook Elementary School","5801 Backlick Rd","Springfield",22150,23295804.6559,25284.7645654
713,"TIMBER LANE","Providence","Timber Lane Elementary School","2737 West St","Falls Church",22046,32006522.2938,28397.7915218
615,"WOODLEY","Mount Vernon","Woodley Hills Elementary School","8718 Old Mt. Vernon Rd","Alexandria",22309,36047323.3037,28165.5140624
824,"ORANGE","Springfield","Orange Hunt Elementary School","6820 Sydenstricker Rd","Springfield",22152,31726919.8157,25798.7167397
711,"PRICE","Providence","Mantua Elementary School","9107 Horner Ct","Fairfax",22031,22432573.2337,23660.1797217
612,"WAYNEWOOD","Mount Vernon","Waynewood Elementary School","1205 Waynewood Blvd","Alexandria",22308,12086443.9877,14102.9897588
507,"LINCOLNIA","Mason","Green Spring Gardens Park","4603 Green Spring Rd","Alexandria",22312,30205400.6339,25764.4618126
911,"NAVY","Sully","Navy Elementary School","3500 West Ox Rd","Fairfax",22033,41483575.8695,32453.4694444
226,"WOLFTRAP","Hunter Mill","Wolftrap Elementary School","1903 Beulah Rd","Vienna",22182,62041072.2849,47997.2556414
115,"RAVENSWORTH","Braddock","Ravensworth Elementary School","5411 Nutting Dr","Springfield",22151,27083322.3179,23376.5164063
704,"FREEDOM HILL","Providence","Freedom Hill Elementary School","1945 Lord Fairfax Rd","Vienna",22182,26529661.5655,26864.3933093
622,"LORTON STATION","Mount Vernon","Lorton Station Elementary School","9298 Lewis Chapel Rd","Lorton",22079,26420174.9386,24666.0859772
321,"CLEARVIEW","Dranesville","Clearview Elementary School","12635 Builders Rd","Herndon",20170,32520931.2755,34144.2969434
325,"HUTCHISON","Dranesville","Hutchison Elementary School","13209 Parcher Ave","Herndon",20170,16315913.9505,17399.0367834
329,"SENECA","Dranesville","Forestville Elementary School","1085 Utterback Store Rd","Great Falls",22066,190144078.916,64282.6080328
203,"FLORIS","Hunter Mill","Floris Elementary School","2708 Centreville Rd","Herndon",20171,39306127.4994,39911.0899882
320,"HERNDON #2","Dranesville","Herndon Community Center","814 Ferndale Ave","Herndon",20170,36514999.6194,28490.5543431
712,"SHREVE","Providence","Shrevewood Elementary School","7525 Shreve Rd","Falls Church",22043,11838958.5158,16856.3247321
608,"KIRKSIDE","Mount Vernon","Hollin Meadows Elementary School","2310 Nordok Pl","Alexandria",22306,26000609.8522,27220.9903284
721,"MERRIFIELD","Providence","Luther Jackson Middle School","3020 Gallows Rd","Falls Church",22042,35971150.4909,28540.5048256
229,"FOX MILL","Hunter Mill","Fox Mill Elementary School","2611 Viking Dr","Herndon",20171,56970888.7115,32949.4628411
225,"TERRASET","Hunter Mill","Terraset Elementary School","11411 Ridge Heights Rd","Reston",20191,20947130.7906,21117.4751233
235,"FRYING PAN","Hunter Mill","Visitor Center at Frying Pan Farm Park","2739 West Ox Rd","Herndon",20171,23918442.4812,22770.5055643
327,"SUGARLAND","Dranesville","Herndon High School","700 Bennett St","Herndon",20170,53520398.6337,35286.6163862
719,"STENWOOD","Providence","Stenwood Elementary School","2620 Gallows Rd","Vienna",22180,13277247.224,22556.8015104
604,"BUCKNELL","Mount Vernon","Bryant Center","2709 Popkins Ln","Alexandria",22306,28703422.7378,31210.8311878
902,"BROOKFIELD","Sully","Brookfield Elementary School","4200 Lees Corner Rd","Chantilly",20151,48913793.9525,34889.8716958
110,"NORTH SPRINGFIELD","Braddock","North Springfield Elementary School","7602 Heming Ct","Springfield",22151,44315822.1686,34873.2631581
609,"MARLAN","Mount Vernon","Paul Spring Retirement Community","7116 Fort Hunt Rd","Alexandria",22307,39488941.4545,33015.4665918
732,"OAK MARR","Providence","Oak Marr Recreation Center","3200 Jermantown Rd","Oakton",22124,91856842.4422,49530.1822403
701,"BLAKE","Providence","Oakton High School","2900 Sutton Rd","Vienna",22181,24604130.8118,23704.3167658
727,"OAKTON","Providence","U. U. Congregation of Fairfax","2709 Hunter Mill Rd","Oakton",22124,35089354.599,24500.6628177
238,"CAMERON GLEN","Hunter Mill","North County Human Services Building","1850 Cameron Glen Dr","Reston",20190,22895764.5756,21126.4350558
319,"HERNDON #1","Dranesville","Herndon Elementary School","630 Dranesville Rd","Herndon",20170,37121871.6833,28111.4724071
236,"STUART","Hunter Mill","Armstrong Elementary School","11900 Lake Newport Rd","Reston",20194,11527661.9407,20484.6774181
324,"HERNDON #3","Dranesville","Herndon Middle School","901 Locust St","Herndon",20170,45528545.9305,27318.1208087
233,"NORTH POINT","Hunter Mill","Armstrong Elementary School","11900 Lake Newport Rd","Reston",20194,49368854.3476,35711.1511027
234,"ALDRIN","Hunter Mill","Aldrin Elementary School","11375 Center Harbor Rd","Reston",20194,49227571.5294,32064.5263378
209,"RESTON #2","Hunter Mill","Forest Edge Elementary School","1501 Becontree Ln","Reston",20190,62451800.24,36217.2029029
208,"RESTON #1","Hunter Mill","Lake Anne Elementary School","11510 North Shore Dr","Reston",20190,33609523.7606,29296.108545
224,"SOUTH LAKES","Hunter Mill","South Lakes High School","11400 South Lakes Dr","Reston",20191,43040929.2667,37656.8525897
220,"DOGWOOD","Hunter Mill","Dogwood Elementary School","12300 Glade Dr","Reston",20191,56670390.4297,32290.5941673
306,"GREAT FALLS","Dranesville","Great Falls Elementary School","701 Walker Rd","Great Falls",22066,207383379.079,75228.3431832
309,"KENMORE","Dranesville","Spring Hill Recreation Center","1239 Spring Hill Rd","McLean",22102,128744153.626,54958.4559841
331,"SPRING HILL","Dranesville","Spring Hill Elementary School","8201 Lewinsville Rd","McLean",22102,37630294.8347,26414.2958409
304,"COOPER","Dranesville","Cooper Middle School","977 Balls Hill Rd","McLean",22101,122440989.983,58073.3720361
